Applications,Part Number,Package, Reverse Working  Voltage (V), Capacitance (pF), Leakage Current (µA), Peak Pulse Current  8/20 µs (*10/1000 µs)  acc. IEC 61000-4-5  (A), Peak Pulse  Power 8/20 µs  acc. IEC 61000- 4-5 (W), Protectable  Lines, ESD Immunity  acc. IEC 61000-4- 2(kV), Max. Operating  Junction Temperature  (°C), AEC-Q101  Qualified
"","SMF6V5A","SMF (DO-219AB)","6.5","938","20","17.9","1000","1","± 30","175","Yes"
"","SMF6V5A","SMF (DO-219AB)","6.5","938","20","17.9","1000","1","± 30","175","Yes"
"","SMF7V0A","SMF (DO-219AB)","7","843","3","16.7","1000","1","± 30","175","Yes"
"","SMF7V0A","SMF (DO-219AB)","7","843","3","16.7","1000","1","± 30","175","Yes"
"","SMF7V5A","SMF (DO-219AB)","7.5","773","0.1","15.5","1000","1","± 30","175","Yes"
"","SMF7V5A","SMF (DO-219AB)","7.5","773","0.1","15.5","1000","1","± 30","175","Yes"
"","SMF8V0A","SMF (DO-219AB)","8","706","0.1","14.7","1000","1","± 30","175","Yes"
"","SMF8V0A","SMF (DO-219AB)","8","706","0.1","14.7","1000","1","± 30","175","Yes"
"","SMF8V5A","SMF (DO-219AB)","8.5","674","0.1","13.9","1000","1","± 30","175","Yes"
"","SMF8V5A","SMF (DO-219AB)","8.5","674","0.1","13.9","1000","1","± 30","175","Yes"
"","SMF9V0A","SMF (DO-219AB)","9","640","0.1","13.5","1000","1","± 30","175","Yes"
"","SMF9V0A","SMF (DO-219AB)","9","640","0.1","13.5","1000","1","± 30","175","Yes"
"","VBUS03B1-SD0","CLP0603-2L","3.3","0.29","0.05","2.5","45","1","± 16","150","No"
"","VBUS03N1-DD1","DFN1006-2B","3.3","0.36","0.1","4","90","1","± 16","150","Yes"
"","VBUS03N1-HD1","DFN1006-2A","3.3","0.7","0.1","4","60","1","± 16","150","Yes"
"Audio Applications,Display Port,DVI,Firewire,Flex-Bus,HDMI1.3,RS232,Thunderbolt,USB1.0,USB2.0,USB3.0,VGA","VBUS052CD-FAH","LLP1713-7L","5","0.8","0.1","3.5","63","2","± 15","125","No"
"Audio Applications,Display Port,DVI,Firewire,Flex-Bus,HDMI1.3,RS232,Thunderbolt,USB1.0,USB2.0,USB3.0,VGA","VBUS053AZ-HAF","LLP75-7L","5.5","0.7","0.085","3","36","3","± 15","125","No"
"Audio Applications,Display Port,DVI,Firewire,Flex-Bus,HDMI1.3,RS232,Thunderbolt,USB1.0,USB2.0,USB3.0,VGA","VBUS053CZ-HAF","LLP75-7L","5.5","0.7","0.02","3","54","3","± 15","125","No"
"Audio Applications,Display Port,DVI,Firewire,Flex-Bus,HDMI1.3,RS232,Thunderbolt,USB1.0,USB2.0,USB3.0,VGA","VBUS054B-HSF","LLP75-6L","5","0.8","0.1","3","45","4","± 15","125","No"
"Audio Applications,Display Port,DVI,Firewire,HDMI1.3,HDMI1.4,RS232,Thunderbolt,USB1.0,USB2.0,USB3.0,VGA","VBUS05B1-SD0","CLP0603-2L","5.5","0.29","0.05","2.5","45","1","± 16","150","No"
