Applications,Part Number,Package, Reverse Working  Voltage (V), Capacitance (pF), Leakage Current (µA), Peak Pulse Current  8/20 µs (*10/1000 µs)  acc. IEC 61000-4-5  (A), Peak Pulse  Power 8/20 µs  acc. IEC 61000- 4-5 (W), Protectable  Lines, ESD Immunity  acc. IEC 61000-4- 2(kV), Max. Operating  Junction Temperature  (°C), AEC-Q101  Qualified
"Audio Applications,RS232","VCUT05G1-SD0","CLP0603-2L","5.5","13","0.1","6","78","1","± 30","150","Yes"
"Audio Applications,RS232,USB1.0","VCUT0714A-HD1","LLP1006-2L","14","8","0.1","5","63","1","± 25","125","No"
"Audio Applications,RS232,USB1.0","VCUT0714A02V","SOD-523","14","8","0.1","4.6","70","1","± 25","150","Yes"
"Audio Applications,RS232,USB1.0","VCUT0714BHD1","DFN1006-2A","14","8","0.1","3.6","50","1","± 25","150","Yes"
"Audio Applications,RS232","VCUT07B1-HD1","LLP1006-2L","7","14","0.1","4","60","1","± 30","125","No"
"Audio Applications,RS232,USB1.0","VCUT10G1-SD0","CLP0603-2L","10","7.7","0.05","4","72","1","± 24","150","Yes"
"Audio Applications,LIN-Bus,RS232,USB1.0","VCUT15G1-SD0","CLP0603-2L","15","5.5","0.05","2.5","65","1","± 15","150","Yes"
"","VESD01A2-03G-G3","SOT-323","1","192","100","11","70","2","30","150","Yes"
"","VESD01C1-02V","SOD-523","1","192","100","11","100","1","30","150","Yes"
"","VESD01C1-HD1","DFN1006-2A","1","192","100","11","100","1","30","150","Yes"
"","VESD01D1-HD1","DFN1006-2A","1","380","300","30","260","1","30","150","Yes"
"","VESD03A1B-HD1","LLP1006-2L","3.3","25","0.5","3.5","31","1","± 30","125","No"
"","VESD03A1C-HD1","LLP1006-2L","3.3","78","1","9.5","95","1","± 30","125","No"
"","VESD03A2-03G-G3","SOT-323","1","192","100","11","70","2","30","150","Yes"
"","VESD03C1-02V","SOD-523","3","112","20","11.6","100","1","30","150","Yes"
"","VESD03C1-HD1","DFN1006-2A","3","112","80","11.6","100","1","30","150","Yes"
"","VESD03D1-HD1","DFN1006-2A","3","305","100","38","260","1","30","150","Yes"
"Audio Applications,RS232","VESD05A1-02V (-G3-","SOD-523","5","130","1","16","192","1","± 30","150","Yes"
"Audio Applications,RS232","VESD05A1A-HD1","LLP1006-2L","5","130","1","16","192","1","± 30","125","No"
"Audio Applications,RS232","VESD05A1B-HD1","LLP1006-2L","5","19","0.1","3","33","1","± 30","125","No"
"Audio Applications,RS232","VESD05A1C-HD1","LLP1006-2L","5","63","0.2","8","80","1","± 30","125","No"
"","VESD05A2-03G-G3","SOT-323","1","192","100","11","70","2","30","150","Yes"
"Audio Applications,Flex-Bus,RS232","VESD05A5A-HSF","LLP75-6L","5","13","0.1","2.5","33","5","± 15","125","No"
"Audio Applications,RS232","VESD05A6-HAF","LLP75-7L","5","40","1","5","60","6","± 30","125","No"
"Audio Applications,Flex-Bus,RS232","VESD05A6A-HAF","LLP75-7L","5","13","0.1","2.5","33","6","± 15","125","No"
"Audio Applications,RS232","VESD05B1-02V","SOD-523","5","19","0.1","3.5","40","1","± 30","150","Yes"
"Audio Applications,RS232","VESD05C1-02V","SOD-523","5","67","0.1","8.7","100","1","30","150","Yes"
"Audio Applications,RS232","VESD05C1-HD1","DFN1006-2A","5","67","0.1","8.7","100","1","30","150","Yes"
"Audio Applications,RS232","VESD05D1-HD1","DFN1006-2A","5","141","0.1","23","260","1","30","150","Yes"
"","VESD08A2-03G-G3","SOT-323","1","192","100","11","70","2","30","150","Yes"
"Audio Applications,RS232","VESD08C1-02V","SOD-523","8","47","0.1","6.6","100","1","30","150","Yes"
"Audio Applications,RS232","VESD08C1-HD1","DFN1006-2A","8","47","0.1","6.6","100","1","30","150","Yes"
"Audio Applications,RS232","VESD08D1-HD1","DFN1006-2A","8","103","0.1","18","260","1","30","150","Yes"
"","VESD12A2-03G-G3","SOT-323","1","192","100","11","70","2","30","150","Yes"
"Audio Applications,RS232","VESD12C1-02V","SOD-523","12","33","0.1","4.4","100","1","30","150","Yes"
"Audio Applications,RS232","VESD12C1-HD1","DFN1006-2A","12","33","0.1","4.4","100","1","30","150","Yes"
"Audio Applications,RS232","VESD13D1-HD1","DFN1006-2A","13","72","0.1","12.5","260","1","30","150","Yes"
"Audio Applications,RS232","VESD14D1-HD1","DFN1006-2A","14","87","0.1","11","260","1","30","150","Yes"
"","VESD16A2-03G-G3","SOT-323","1","192","100","11","70","2","30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VESD16C1-02V","SOD-523","16","27","0.1","3.6","100","1","30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VESD16C1-HD1","DFN1006-2A","16","27","0.1","3.6","100","1","30","150","Yes"
"Audio Applications,RS232","VESD16D1-HD1","DFN1006-2A","16","60","0.1","9.5","260","1","30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VESD23D1-HD1","DFN1006-2A","23","42","0.1","6.5","260","1","30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VESD24E1-HD1","DFN1006-2A","24","28","0.05","4","175","1","30","150","Yes"
"","VESD26A2-03G-G3","SOT-323","1","192","100","11","70","2","30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VESD26C1-02V","SOD-523","26","17.5","0.1","2.1","100","1","20","150","Yes"
"Audio Applications,LIN-Bus,RS232","VESD26C1-HD1","DFN1006-2A","26","17.5","0.1","2.1","100","1","20","150","Yes"
"Audio Applications,LIN-Bus,RS232","VESD26D1-HD1","DFN1006-2A","26","38","0.1","5.8","260","1","30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VESD29D1-HD1","DFN1006-2A","29","35","0.1","5.4","260","1","30","150","Yes"
"","VESD33A2-03G-G3","SOT-323","1","192","100","11","70","2","30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VESD33C1-02V","SOD-523","33","15","0.1","1.6","70","1","15","150","Yes"
"Audio Applications,LIN-Bus,RS232","VESD33C1-HD1","DFN1006-2A","33","15","0.1","1.6","100","1","15","150","Yes"
"Audio Applications,LIN-Bus,RS232","VESD34D1-HD1","DFN1006-2A","34","31","0.1","4.5","260","1","30","150","Yes"
"1000Base-T1,100Base-T1,10Base-T1S,Audio Applications,LIN-Bus,RS232,USB1.0,USB2.0,VGA","VETH100A1DD1","DFN1006-2B","24","1.7","0.1","0","n/a","1","15","150","Yes"
"1000Base-T1,100Base-T1,10Base-T1S,Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0,USB2.0,VGA","VETH100A203S","SOT-23","24","1.75","0.1","0","n/a","2","15","150","Yes"
"","VGSOT03","SOT-23","3.3","460","100","44","480","1","± 30","150","Yes"
"","VGSOT03C","SOT-23","3.3","460","100","44","540","2","± 30","150","Yes"
"","VGSOT04","SOT-23","4","360","20","40","450","1","± 30","150","Yes"
"","VGSOT04C","SOT-23","4","360","20","40","400","2","± 30","150","Yes"
"Audio Applications,RS232","VGSOT05","SOT-23","5","279","10","36","450","1","± 30","150","Yes"
"Audio Applications,RS232","VGSOT05C","SOT-23","5","276","10","36","450","2","± 30","150","Yes"
"Audio Applications,RS232","VGSOT08","SOT-23","8","175","5","28","540","1","± 30","150","Yes"
"Audio Applications,RS232","VGSOT08C","SOT-23","8","175","5","28","540","2","± 30","150","Yes"
"Audio Applications,RS232","VGSOT12","SOT-23","12","115","1","18.5","400","1","± 30","150","Yes"
"Audio Applications,RS232","VGSOT12C","SOT-23","12","115","1","18.5","500","2","± 30","150","Yes"
"Audio Applications,RS232","VGSOT15","SOT-23","15","100","1","15.5","540","1","± 30","150","Yes"
"Audio Applications,RS232","VGSOT15C","SOT-23","15","100","1","15.5","540","2","± 30","150","Yes"
"Audio Applications,RS232","VGSOT22","SOT-23","22","70","1","9.4","450","2","± 30","150","Yes"
"Audio Applications,RS232","VGSOT22C","SOT-23","22","70","1","9.4","450","2","± 30","150","Yes"
"Audio Applications,RS232","VGSOT24","SOT-23","24","65","1","8.4","400","1","± 30","150","Yes"
"Audio Applications,RS232","VGSOT24C","SOT-23","24","65","1","8.4","400","2","± 30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VGSOT36","SOT-23","36","45","1","5.6","500","1","± 30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VGSOT36C","SOT-23","36","45","1","5.6","500","2","± 30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VLIN1616-02G","SOD-323","16","18","0.05","6","200","1","± 30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VLIN1616-DD1","DFN1006-2B","16","21","0.05","5","160","1","30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VLIN1626-02G","SOD-323","16","15.5","0.05","6","200","1","± 30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VLIN1626-DD1","DFN1006-2B","16","16","0.05","5","160","1","30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VLIN2626-02G","SOD-323","26.5","13.5","0.05","4","200","1","± 30","150","Yes"
"Audio Applications,LIN-Bus,RS232","VLIN2626-DD1","DFN1006-2B","26","13.7","0.05","3.9","175","1","30","150","Yes"
"Audio Applications,LIN-Bus,RS232,USB1.0","VLIN26A1-03G","SOT-323","26.5","10","0.05","3","150","1","± 30","175","Yes"
"Audio Applications,LIN-Bus,RS232","VLIN3333-02G","SOD-323","33","11","0.05","3.5","200","1","± 30","150","Yes"
"Audio Applications,RS232","VMMBZ16C1DD1","DFN1006-2B","14","14.5","0.01","4","108","1","30","150","Yes"
"Audio Applications,RS232","VMMBZ16C1HD1","DFN1006-2A","14","29","0.01","4","100","1","30","150","Yes"
"Audio Applications,LIN-Bus,RS232,USB1.0","VMMBZ33C1DD1","DFN1006-2B","28","8","0.01","1.7","100","1","15","150","Yes"
"Audio Applications,LIN-Bus,RS232","VMMBZ33C1HD1","DFN1006-2A","28","16.1","0.01","1.7","100","1","15","150","Yes"
