Parts,Package,Package Size,Configuration Type,Feature,Number of Lines,VRWM MAX (V),Cj (Typ) (pF),IPP (A) at 8/20Âµsec,VClamp (V) at Ipp 8/20Âµsec,VBR (Min)(V),IEC61000-4-2 (ESD) contact discharge,IEC61000-4-2 (ESD) air discharge, Working Voltage, Interface
"RClamp01811PW","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","1.80","0.52","8.00","4.60","2.20","30","30","1V - 3.6V",""
"RClamp01811ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","1.80","0.55","8.00","4.80","2.20","12","20","1V - 3.6V",""
"RClamp01892PWQ","DFN1006-3","1.0 x 0.6 x 0.5","Array","Automotive","2","1.80","0.30","2.50","3.00","3.50","8","11","1V - 3.6V",""
"RClamp02581P","DFN1006-2","1.0 x 0.6 x 0.25","Bidirectional","Low capacitance","1","2.80","0.28","8.00","4.60","5.00","15","20","1V - 3.6V","USB"
"RClamp03301H","SOD323","2.7 x 1.4 x 1.1","Unidirectional","Low capacitance","1","3.30","3.60","36.00","15.70","6.50","30","30","1V - 3.6V","Ethernet"
"RClamp03321H","SOD323","2.7 x 1.4 x 1.1","Bidirectional","Low capacitance","1","3.30","1.90","27.00","22.50","7.00","30","30","1V - 3.6V","Ethernet"
"RClamp03322P","DFN1006-3","1.0 x 0.6 x 0.55","Bidirectional","Low capacitance","2","3.30","0.20","6.00","6.00","3.90","8","20","1V - 3.6V","Ethernet"
"RClamp03331PWQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","3.30","0.35","10.00","5.00","6.00","25","30","1V - 3.6V","Antenna, Automotive High Speed"
"RClamp03354P","DFN2510-10","2.5 x 1.0 x 0.55","Array","Low capacitance","4","3.30","0.35","10.00","4.30","5.50","12","15","1V - 3.6V","HDMI, USB"
"RClamp03384P","DFN2510-10","2.5 x 1.0 x 0.55","Bidirectional","Low capacitance","4","3.30","0.17","5.00","5.50","5.50","10","15","1V - 3.6V","HDMI"
"RClamp03391PW","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","3.30","0.20","7.00","6.50","5.50","8","15","1V - 3.6V","Ethernet, USB"
"RClamp03392P","DFN1610-6","1.6 x 1.0 x 0.55","Array","Low capacitance","2","3.30","0.22","6.00","6.00","3.90","8","20","1V - 3.6V","Ethernet"
"RClamp04022S","SOT23-3","3.04 x 2.64 x 1.22","Bidirectional","Low capacitance","2","4.00","0.44","18.00","5.60","6.00","30","30","4V - 5.5V",""
"RClamp04041PW","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","4.00","0.49","20.00","5.20","6.00","30","30","4V - 5.5V","USB"
"RClamp04051ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","4.00","0.53","20.00","8.00","6.00","30","30","4V - 5.5V","USB"
"RClamp04052P","DFN1006-3","1.0 x 0.6 x 0.5","Unidirectional","Low capacitance","2","4.00","0.83","15.00","4.50","6.00","25","30","4V - 5.5V","USB"
"RCLAMP0501H","SOD323","2.7 x 1.4 x 1.1","Unidirectional","Low capacitance","1","5.00","3.60","32.00","15.50","6.50","30","30","4V - 5.5V","VBUS"
"RClamp0501T","DFN1006-2","1.0 x 0.6 x 0.4","Unidirectional","Low capacitance","1","5.00","1.50","10.00","15.00","6.90","20","25","4V - 5.5V",""
"RClamp0502A","SOT 89 (SOT 666)","1.7 x 1.7 x 0.6","Array","Low capacitance","2","5.00","0.30","3.00","16.00","6.00","15","20","4V - 5.5V","USB"
"RClamp0502BA","SC-75 (SOT-523)","1.75 x 1.7 x 0.8","Array","Low capacitance","2","5.00","0.50","5.00","25.00","6.00","12","18","4V - 5.5V","HDMI, USB"
"RClamp0503F","SC-70 5L","2.1 x 2.1 x 1.1","Array","Low capacitance","3","5.00","1.50","6.00","25.00","6.00","20","25","4V - 5.5V",""
"RClamp0503N","DFN1510-6","1.45 x 1.0 x 0.5","Array","Low capacitance","3","6.50","0.30","3.00","30.00","7.00","8","15","6V - 12V","USB"
"RClamp0504FA","SC-70 6L","2.1 x 2.1 x 1.1","Array","Low capacitance","4","5.00","1.50","6.00","25.00","6.00","8","15","4V - 5.5V",""
"RClamp0504FB","SC-70 6L","2.1 x 2.1 x 1.1","Array","Low capacitance","4","5.00","0.55","14.00","16.50","6.00","24","30","4V - 5.5V","USB"
"RClamp0504M","MSOP 10L","4.9 x 3.1 x 1.1","Array","Low capacitance","4","5.00","1.50","12.00","25.00","6.00","8","15","4V - 5.5V",""
"RClamp0504N","DFN2020-6","2.0 x 2.0 x 0.6","Array","Low capacitance","4","5.00","1.50","12.00","20.30","6.00","8","15","4V - 5.5V","USB"
"RClamp0504P","DFN1616-6","1.6 x 1.6 x 0.6","Array","Low capacitance","4","5.00","0.80","6.00","25.00","6.00","8","15","4V - 5.5V",""
"RClamp0504PA","DFN1616-6","1.6 x 1.6 x 0.6","Array","Low capacitance","4","5.00","1.90","6.00","25.00","6.00","8","15","4V - 5.5V",""
"RClamp0504S","SOT23-6","2.9 x 2.8 x 1.45","Array","Low capacitance","4","5.00","1.50","6.00","25.00","6.00","8","15","4V - 5.5V","Ethernet"
"RClamp0506T","DFN3313-6","3.3 x 1.3 x 0.4","Array","Low capacitance","6","5.00","0.70","5.00","15.00","6.50","12","18","4V - 5.5V",""
"RClamp0508M","MSOP 10L","4.9 x 3.1 x 1.1","Array","Low capacitance","8","5.00","1.50","12.00","25.00","6.00","8","15","4V - 5.5V",""
"RClamp0512TQ","DFN1006-3","1.0 x 0.6 x 0.4","Array","Automotive","2","5.00","1.10","20.00","8.50","6.50","30","30","4V - 5.5V","Automotive Ethernet, Ethernet, USB"
"RClamp0514M","MSOP 10L","4.9 x 3.1 x 1.1","Array","Low capacitance","4","5.00","0.70","5.00","20.00","6.00","8","15","4V - 5.5V",""
"RClamp0518P","DFN2708-9","2.7 x 0.8 x 0.5","Array","Low capacitance","8","5.00","0.55","10.00","10.00","6.50","30","30","4V - 5.5V",""
"RClamp0518PQ","DFN2780-9","2.7 x 0.8 x 0.5","Array","Automotive","8","5.00","0.55","10.00","4.20","6.50","30","30","4V - 5.5V","Automotive Ethernet"
"RClamp0521H","SOD323","2.7 x 1.4 x 1.1","Bidirectional","Low capacitance","1","5.00","1.90","24.00","21.50","7.00","30","30","4V - 5.5V","Ethernet, USB"
"RClamp0521PA","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","5.00","0.30","4.00","25.00","6.00","12","15","4V - 5.5V","Antenna, HDMI, USB"
"RClamp0521Z","DFN0603-2","0.6 x 0.3 x 0.25","Unidirectional","Low capacitance","1","5.00","0.35","4.00","25.00","6.00","17","25","4V - 5.5V","HDMI, USB"
"RClamp0521ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","5.00","0.50","2.00","15.00","6.50","17","25","4V - 5.5V","Antenna, HDMI, USB"
