Product or Part number,Number of channels,PDF datasheet,HTML datasheet,Vrwm (V),Bi-/uni-directional,Package name,Peak pulse power (8/20 μs) (max) (W),IO capacitance (typ) (pF),IEC 61000-4-2 contact (±V),IEC 61000-4-5 (A),Clamping voltage (V),Price|Quantity (USD),Status
,2.0,,,24.0,Bi-directional,DFN1110-3,90.0,1.7,20000.0,2.5,38.0,0.073,ACTIVE
,2.0,,,24.0,Bi-directional,"SC70-3,SOT-23-3",210.0,3.0,30000.0,5.7,35.0,0.114,ACTIVE
,2.0,,,24.0,Bi-directional,"DFN1110-3,SC70-3,SOT-23-3",210.0,3.0,30000.0,5.7,35.0,0.085,ACTIVE
,1.0,,,3.6,Bi-directional,DFN0603,54.0,0.66,30000.0,5.4,8.8,0.029,ACTIVE
,1.0,,,3.6,Bi-directional,DFN1006,27.0,0.2,15000.0,2.5,15.0,0.08,ACTIVE
,2.0,,,3.6,Uni-Directional,SOT-23-6,85.0,2.3,30000.0,12.0,5.5,0.116,ACTIVE
,4.0,,,3.6,Uni-Directional,SOT-23-3,85.0,2.3,30000.0,12.0,6.0,0.132,ACTIVE
,2.0,,,3.6,Uni-Directional,SOT-23-6,170.0,4.5,30000.0,25.0,6.5,0.104,ACTIVE
,4.0,,,3.6,Uni-Directional,SOT-23-6,170.0,4.5,30000.0,25.0,5.5,0.161,ACTIVE
,1.0,,,3.6,Uni-Directional,"DFN1006,SOD523",40.0,0.9,30000.0,6.0,6.8,0.079,ACTIVE
,1.0,,,3.6,Uni-Directional,DFN1006,36.0,1.8,30000.0,6.0,6.5,0.052,ACTIVE
,4.0,,,3.6,Bi-directional,DFN2510,50.0,0.55,30000.0,5.5,8.2,0.091,ACTIVE
,4.0,,,3.6,Bi-directional,DFN2510,17.0,0.5,12000.0,2.0,14.0,0.136,ACTIVE
,4.0,,,3.6,Bi-directional,DFN2510,17.0,0.25,12000.0,2.0,6.6,0.224,ACTIVE
,1.0,,,5.5,Bi-directional,DFN1006,67.0,0.77,24000.0,4.5,15.0,0.066,ACTIVE
,2.0,,,3.6,Bi-directional,DFN1006,20.0,0.2,17000.0,2.5,13.5,0.182,ACTIVE
,1.0,,,5.5,Uni-Directional,DFN1006,30.0,0.4,12000.0,2.5,"10,23",0.093,ACTIVE
,1.0,,,5.5,Bi-directional,"DFN1006,SOD523",90.0,12.0,30000.0,6.0,10.0,0.082,ACTIVE
,1.0,,,9.0,Bi-directional,DFN1006,90.0,10.0,20000.0,5.5,13.0,0.105,ACTIVE
,1.0,,,3.6,Bi-directional,DFN1006,50.0,1.0,30000.0,6.3,6.3,0.047,ACTIVE
,1.0,,,3.6,Bi-directional,"DFN0603,DFN1006",15.0,0.13,8000.0,1.7,7.2,0.07,ACTIVE
,1.0,,,3.6,Bi-directional,"DFN0603,DFN1006",27.0,0.18,15000.0,2.5,7.0,0.035,ACTIVE
,1.0,,,3.6,Uni-Directional,"DFN0603,DFN1006",19.0,0.5,16000.0,2.5,8.5,0.06,ACTIVE
,4.0,,,3.6,Bi-directional,DFN2510,17.0,0.25,12000.0,2.0,6.6,0.167,ACTIVE
,2.0,,,5.5,Uni-Directional,"SC70-3,SOT-23",75.0,1.5,25000.0,5.5,9.7,0.094,ACTIVE
,4.0,,,5.5,Uni-Directional,DFN2510,40.0,0.5,12000.0,2.5,10.0,0.2,ACTIVE
,4.0,,,5.5,Bi-directional,DFN0603,40.0,4.8,15000.0,3.0,10.0,0.068,ACTIVE
,4.0,,,5.5,Uni-Directional,DFN0603,35.0,0.45,12000.0,2.5,10.0,0.105,ACTIVE
,2.0,,,5.5,Bi-directional,SOT-5X3,35.0,1.0,10000.0,2.5,11.0,0.122,ACTIVE
,6.0,,,5.5,Uni-Directional,UQFN,40.0,0.5,12000.0,2.5,10.0,0.304,ACTIVE
,2.0,,,5.5,Uni-Directional,"SC70-3,SOT-5X3",85.0,1.5,25000.0,5.5,9.7,0.07,ACTIVE
,4.0,,,5.5,Uni-Directional,SOT-23-6,100.0,1.5,8000.0,5.5,16.0,0.18,ACTIVE
,4.0,,,5.5,Uni-Directional,DFN2510,40.0,0.5,12000.0,2.5,10.0,0.101,ACTIVE
,1.0,,,5.5,Uni-Directional,"DFN1006,SOD523",40.0,0.5,12000.0,2.5,10.0,0.039,ACTIVE
,4.0,,,5.5,Bi-directional,"SC70-6,SOT-5X3",45.0,0.7,12000.0,3.0,10.9,0.137,ACTIVE
,4.0,,,5.5,Uni-Directional,"SC70-6,SOT-23",45.0,0.8,15000.0,3.0,13.0,0.13,ACTIVE
,5.0,,,5.5,Uni-Directional,,40.0,9.0,15000.0,3.0,13.0,0.162,ACTIVE
,1.0,,,5.0,Bi-directional,DFN0603,50.0,6.0,15000.0,3.8,10.0,0.023,ACTIVE
,4.0,,,5.5,Bi-directional,DFN0603,40.0,4.8,15000.0,3.0,13.0,0.113,ACTIVE
,1.0,,,5.5,Bi-directional,"DFN1006,SOD523",90.0,12.0,30000.0,6.0,10.0,0.033,ACTIVE
,1.0,,,9.0,Bi-directional,DFN1006,90.0,10.0,20000.0,4.5,13.0,0.078,ACTIVE
,2.0,,,3.6,Uni-Directional,SOT-9X3,45.0,0.7,8000.0,5.0,8.0,0.152,ACTIVE
,4.0,,,5.5,Uni-Directional,USON,45.0,0.8,8000.0,5.0,8.0,0.258,ACTIVE
,2.0,,,5.5,Uni-Directional,SOT-9X3,45.0,0.7,8000.0,5.0,8.0,0.167,ACTIVE
,2.0,,-,5.5,Uni-Directional,SOT-5X3,100.0,1.5,8000.0,,16.0,0.194,ACTIVE
,2.0,,,5.5,Uni-Directional,SOT-23-6,,1.0,11000.0,6.0,14.0,0.148,ACTIVE
,2.0,,,5.5,Uni-Directional,"SOT-23-3,SOT-9X3",45.0,0.7,8000.0,5.0,8.0,0.109,ACTIVE
,2.0,,,13.0,Bi-directional,"LGA (PicoStar),SC70-3",0.27,10.0,8000.0,4.5,20.0,0.294,ACTIVE
,4.0,,,5.5,Uni-Directional,DFN2510,25.0,0.8,8000.0,2.5,20.0,0.266,ACTIVE
,4.0,,,5.5,Uni-Directional,DFN2510,60.0,0.8,10000.0,3.0,8.0,0.159,ACTIVE
,8.0,,,5.5,Uni-Directional,WSON,25.0,0.8,8000.0,2.5,20.0,0.888,ACTIVE
,4.0,,,5.5,Uni-Directional,"SC70-6,SOT-23-6,USON,VSSOP",25.0,0.8,8000.0,2.5,20.0,0.099,ACTIVE
,2.0,,,5.5,Uni-Directional,"SOT-23,SOT-5X3,USON,WSON",100.0,1.5,8000.0,,16.0,0.121,ACTIVE
,3.0,,,5.5,Uni-Directional,"SOT-5X3,USON,WSON",100.0,1.5,8000.0,5.5,25.0,0.155,ACTIVE
,4.0,,,5.0,Uni-Directional,SOT-5X3,25.0,11.0,15000.0,2.5,30.0,0.092,ACTIVE
,4.0,,,5.5,Uni-Directional,"SC70-6,SOT-23-6,SOT-5X3,USON,WSON",100.0,1.5,8000.0,5.5,25.0,0.082,ACTIVE
,6.0,,,5.5,Uni-Directional,"UQFN,WQFN",100.0,1.5,8000.0,,15.0,0.175,ACTIVE
,,,-,,,"CDIP,LCCC",,,,,,204.517,ACTIVE
