Part,Manufacturer,Package,Vrwm,Vclamp,Capacitance,Channels,Direction,Grade,Type,Ipp,IEC42_kV,IEC45_A
PESD2ETH-X,Nexperia,SOT143B,5.5,,1.0,2.0,Unidirectional,Commercial,TVS/ESD,,8.0,
PESD2ETHAD-Q,Nexperia,TSOP6,5.5,,20.0,2.0,,Automotive,TVS/ESD,3.5,12.0,
PESD2ETHAX-Q,Nexperia,SOT143B,5.5,,1.8,2.0,Unidirectional,Automotive,TVS/ESD,,12.0,
PESD2ETHD-Q,Nexperia,TSOP6,5.5,,16.0,2.0,,Automotive,TVS/ESD,2.5,8.0,
PESD2ETHX-Q,Nexperia,SOT143B,5.5,,1.0,2.0,Unidirectional,Automotive,TVS/ESD,,8.0,
PESD2IVN24-T,Nexperia,SOT23,24.0,,14.0,2.0,Bidirectional,Commercial,TVS/ESD,3.5,30.0,
PESD2IVN24T-Q,Nexperia,SOT23,24.0,,14.0,2.0,Bidirectional,Automotive,TVS/ESD,3.5,30.0,
PESD2IVN27-T,Nexperia,SOT23,27.0,,13.0,2.0,Bidirectional,Commercial,TVS/ESD,3.0,30.0,
PESD2IVN27-U,Nexperia,SC-70,27.0,,14.0,2.0,Bidirectional,Commercial,TVS/ESD,3.0,30.0,
PESD2IVN48T-Q,Nexperia,SOT23,48.0,,7.1,2.0,Bidirectional,Automotive,TVS/ESD,3.5,30.0,
PESD2USB30,Nexperia,WLCSP10,5.0,,0.45,2.0,Unidirectional,Commercial,TVS/ESD,8.0,15.0,
PESD2V0Y1BSF,Nexperia,DSN0603-2,2.0,,0.69,1.0,Bidirectional,Commercial,TVS/ESD,6.0,20.0,
PESD2V0Y1BXM,Nexperia,DSN0603C-2,2.0,,0.7,1.0,Bidirectional,Commercial,TVS/ESD,5.5,18.0,
PESD2V5X1BSF,Nexperia,DSN0603-2,2.5,,2.0,1.0,Bidirectional,Commercial,TVS/ESD,22.0,25.0,
PESD2V5Y1BSF,Nexperia,DSN0603-2,2.5,,0.25,1.0,Bidirectional,Commercial,TVS/ESD,4.0,15.0,
PESD2V8R1BSF,Nexperia,DSN0603-2,2.8,,0.1,1.0,Bidirectional,Commercial,TVS/ESD,4.5,10.0,
PESD2V8Y1BSF,Nexperia,DSN0603-2,2.8,,0.16,1.0,Bidirectional,Commercial,TVS/ESD,6.9,14.0,
PESD3USB30,Nexperia,WLCSP15,5.0,,0.45,3.0,Unidirectional,Commercial,TVS/ESD,8.0,15.0,
PESD3V3C1BSF,Nexperia,DSN0603-2,3.3,,0.2,1.0,Bidirectional,Commercial,TVS/ESD,9.0,20.0,
PESD3V3C1UBSF,Nexperia,DSN0603-2,3.3,,0.58,1.0,Unidirectional,Commercial,TVS/ESD,,18.0,
PESD3V3C2UM,Nexperia,DFN1006-3,3.3,,0.4,2.0,Unidirectional,Commercial,TVS/ESD,6.5,15.0,
PESD3V3F1BSF,Nexperia,DSN0603-2,3.3,,0.78,1.0,Bidirectional,Commercial,TVS/ESD,20.0,20.0,
PESD3V3F2UT,Nexperia,SOT23,3.3,,0.56,2.0,Unidirectional,Commercial,TVS/ESD,4.0,8.0,
PESD3V3HS2-SF,Nexperia,DSN0603-2,3.3,,0.8,1.0,Bidirectional,Commercial,TVS/ESD,11.0,18.0,
PESD3V3L1BA,Nexperia,SOD323,3.3,,101.0,1.0,Bidirectional,Commercial,TVS/ESD,18.0,30.0,
PESD3V3L1BA-Q,Nexperia,SOD323,3.3,,101.0,1.0,Bidirectional,Automotive,TVS/ESD,18.0,30.0,
PESD3V3L1BBSF,Nexperia,DSN0603-2,3.3,,24.2,1.0,Bidirectional,Commercial,TVS/ESD,20.0,30.0,
PESD3V3L1BLF,Nexperia,DFN0603-2,3.3,,,1.0,Bidirectional,Commercial,TVS/ESD,8.0,30.0,
PESD3V3L1BSF,Nexperia,DSN0603-2,3.3,,32.5,1.0,Bidirectional,Commercial,TVS/ESD,20.0,30.0,
PESD3V3L1BSL,Nexperia,DFN1006-2,3.3,,15.5,1.0,Bidirectional,Commercial,TVS/ESD,7.5,25.0,
PESD3V3L1UB,Nexperia,SC-79,3.3,,34.0,1.0,Unidirectional,Commercial,TVS/ESD,4.5,30.0,
PESD3V3L1UL,Nexperia,DFN1006-2,3.3,,34.0,1.0,Unidirectional,Commercial,TVS/ESD,4.5,30.0,
PESD3V3L1ULS,Nexperia,DFN1006BD-2,3.3,,105.0,1.0,Unidirectional,Commercial,TVS/ESD,14.0,30.0,
PESD3V3L2BT,Nexperia,SOT23,3.3,,101.0,2.0,Bidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD3V3L2BT-Q,Nexperia,SOT23,3.3,,101.0,2.0,Bidirectional,Automotive,TVS/ESD,15.0,30.0,
PESD3V3L2UM,Nexperia,DFN1006-3,3.3,,22.0,2.0,Unidirectional,Commercial,TVS/ESD,3.0,15.0,
PESD3V3L4BHC,Nexperia,DFN1308-6,3.3,,7.2,4.0,Bidirectional,Commercial,TVS/ESD,6.0,20.0,
PESD3V3L4UF,Nexperia,XSON6,3.3,,22.0,4.0,Unidirectional,Commercial,TVS/ESD,3.0,20.0,
PESD3V3L4UG,Nexperia,TSSOP5,3.3,,22.0,4.0,Unidirectional,Commercial,TVS/ESD,3.0,20.0,
PESD3V3L4UW,Nexperia,SOT665,3.3,,22.0,4.0,Unidirectional,Commercial,TVS/ESD,3.0,20.0,
PESD3V3L5UF,Nexperia,XSON6,3.3,,22.0,5.0,Unidirectional,Commercial,TVS/ESD,2.5,20.0,
PESD3V3L5UY,Nexperia,TSSOP6,3.3,,22.0,5.0,Unidirectional,Commercial,TVS/ESD,2.5,20.0,
PESD3V3MS-SF,Nexperia,DSN0603-2,3.3,,5.0,1.0,Bidirectional,Commercial,TVS/ESD,18.0,30.0,
PESD3V3NW-SF,Nexperia,DSN0603-2,3.3,,0.6,1.0,Bidirectional,Commercial,TVS/ESD,20.0,30.0,
PESD3V3S1BA,Nexperia,SOD323,3.3,,,,,Commercial,TVS/ESD,,,
PESD3V3S1BL,Nexperia,DFN1006-2,3.3,,35.0,1.0,Bidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD3V3S1BSF,Nexperia,DSN0603-2,3.3,,10.7,1.0,Bidirectional,Commercial,TVS/ESD,12.0,30.0,
PESD3V3S1UB,Nexperia,SC-79,3.3,,207.0,1.0,Unidirectional,Commercial,TVS/ESD,18.0,30.0,
PESD3V3S1UB-Q,Nexperia,SC-79,3.3,,207.0,1.0,Unidirectional,Automotive,TVS/ESD,18.0,30.0,
PESD3V3S1UL,Nexperia,DFN1006-2,3.3,,207.0,1.0,Unidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD3V3S1UL-Q,Nexperia,DFN1006-2,3.3,,207.0,1.0,Unidirectional,Automotive,TVS/ESD,15.0,30.0,
PESD3V3S1ULS,Nexperia,DFN1006BD-2,3.3,,207.0,1.0,Unidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD3V3S2BT,Nexperia,SOT23,3.3,,,,,Commercial,TVS/ESD,,,
PESD3V3S2UAT,Nexperia,SOT23,3.3,,207.0,2.0,Unidirectional,Commercial,TVS/ESD,18.0,30.0,
PESD3V3S2UAT-Q,Nexperia,SOT23,3.3,,207.0,2.0,Unidirectional,Automotive,TVS/ESD,18.0,30.0,
PESD3V3S2UQ,Nexperia,SOT663,3.3,,200.0,2.0,Unidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD3V3S2UT,Nexperia,SOT23,3.3,,207.0,2.0,Unidirectional,Commercial,TVS/ESD,18.0,30.0,
PESD3V3S2UT-Q,Nexperia,SOT23,3.3,,207.0,2.0,Unidirectional,Automotive,TVS/ESD,18.0,30.0,
PESD3V3S4UD,Nexperia,TSOP6,3.3,,215.0,4.0,Unidirectional,Commercial,TVS/ESD,20.0,30.0,
PESD3V3S4UD-Q,Nexperia,TSOP6,3.3,,215.0,4.0,Unidirectional,Automotive,TVS/ESD,20.0,30.0,
PESD3V3S4UF,Nexperia,XSON6,3.3,,110.0,4.0,Unidirectional,Commercial,TVS/ESD,10.0,30.0,
PESD3V3S5UD,Nexperia,TSOP6,3.3,,215.0,5.0,Unidirectional,Commercial,TVS/ESD,20.0,30.0,
PESD3V3S5UD-Q,Nexperia,TSOP6,3.3,,215.0,5.0,Unidirectional,Automotive,TVS/ESD,20.0,30.0,
PESD3V3T1BL,Nexperia,DFN1006-2,3.3,,20.0,1.0,Bidirectional,Commercial,TVS/ESD,10.0,30.0,
PESD3V3T1BL-Q,Nexperia,DFN1006-2,3.3,,20.0,1.0,Bidirectional,Automotive,TVS/ESD,10.0,30.0,
PESD3V3T1BLD,Nexperia,DFN1006D-2,3.3,,20.0,1.0,Bidirectional,Commercial,TVS/ESD,10.0,30.0,
PESD3V3T1BLD-Q,Nexperia,DFN1006D-2,3.3,,20.0,1.0,Bidirectional,Automotive,TVS/ESD,10.0,30.0,
PESD3V3T1BLS,Nexperia,DFN1006BD-2,3.3,,20.0,1.0,Bidirectional,Commercial,TVS/ESD,10.5,30.0,
PESD3V3U1BCSF,Nexperia,DSN0603-2,3.3,,5.3,1.0,Bidirectional,Commercial,TVS/ESD,5.4,20.0,
PESD3V3U1UA,Nexperia,SOD323,3.3,,2.6,1.0,Unidirectional,Commercial,TVS/ESD,,9.0,
PESD3V3U1UB,Nexperia,SC-79,3.3,,2.6,1.0,Unidirectional,Commercial,TVS/ESD,,9.0,
PESD3V3U1UL,Nexperia,DFN1006-2,3.3,,2.6,1.0,Unidirectional,Commercial,TVS/ESD,,9.0,
PESD3V3U1UL-Q,Nexperia,DFN1006-2,3.3,,2.6,1.0,Unidirectional,Automotive,TVS/ESD,,9.0,
PESD3V3U1UT,Nexperia,SOT23,3.3,,0.6,1.0,Unidirectional,Commercial,TVS/ESD,5.0,30.0,
PESD3V3V1BCSF,Nexperia,DSN0603-2,3.3,,8.5,1.0,Bidirectional,Commercial,TVS/ESD,7.1,27.0,
PESD3V3V1BL,Nexperia,DFN1006-2,3.3,,11.0,1.0,Bidirectional,Commercial,TVS/ESD,5.0,30.0,
PESD3V3V4UW,Nexperia,SOT665,3.3,,15.0,4.0,Unidirectional,Commercial,TVS/ESD,1.5,12.0,
PESD3V3W1BCSF,Nexperia,DSN0603-2,3.3,,0.55,1.0,Bidirectional,Commercial,TVS/ESD,20.0,30.0,
PESD3V3X1BCSF,Nexperia,DSN0603-2,3.3,,1.1,1.0,Bidirectional,Commercial,TVS/ESD,8.0,20.0,
PESD3V3X2UT,Nexperia,SOT23,3.3,,0.83,2.0,Unidirectional,Commercial,TVS/ESD,8.0,18.0,
PESD3V3X4UHC,Nexperia,DFN1308-6,3.3,,0.8,4.0,Unidirectional,Commercial,TVS/ESD,11.0,25.0,
PESD3V3X4UHM,Nexperia,DFN1308-6,3.3,,0.8,4.0,Unidirectional,Commercial,TVS/ESD,11.0,25.0,
PESD3V3Y1BCSF,Nexperia,DSN0603-2,3.3,,0.16,1.0,Bidirectional,Commercial,TVS/ESD,,15.0,
PESD3V3Y1BSF,Nexperia,DSN0603-2,3.3,,0.24,1.0,Bidirectional,Commercial,TVS/ESD,4.0,15.0,
PESD3V3Z1BCSF,Nexperia,DSN0603-2,3.3,,0.45,1.0,Bidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD3V3Z1BSF,Nexperia,DSN0603-2,3.3,,0.28,1.0,Bidirectional,Commercial,TVS/ESD,9.5,20.0,
PESD3V6Y1BCSF,Nexperia,DSN0603-2,3.6,,0.16,1.0,Bidirectional,Commercial,TVS/ESD,,15.0,
PESD3V6Z1BCSF,Nexperia,DSN0603-2,3.6,,0.45,1.0,Bidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD4V0W1BCSF,Nexperia,DSN0603-2,4.0,,0.55,1.0,Bidirectional,Commercial,TVS/ESD,20.0,30.0,
PESD4V0X1BESF,Nexperia,DSN0603-2,4.0,,0.9,1.0,Bidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD4V0X2UM,Nexperia,DFN1006-3,4.0,,0.82,2.0,Unidirectional,Commercial,TVS/ESD,11.5,20.0,
PESD4V0Y1BBSF,Nexperia,DSN0603-2,4.0,,0.7,1.0,Bidirectional,Commercial,TVS/ESD,25,30.0,
PESD4V0Y1BCSF,Nexperia,DSN0603-2,4.0,,0.16,1.0,Bidirectional,Commercial,TVS/ESD,6.9,15.0,
PESD4V0Y1BSF,Nexperia,DSN0603-2,4.0,,0.24,1.0,Bidirectional,Commercial,TVS/ESD,4.0,15.0,
PESD4V0Z1BCSF,Nexperia,DSN0603-2,4.0,,0.45,1.0,Bidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD4V0Z1BSF,Nexperia,DSN0603-2,4.0,,0.28,1.0,Bidirectional,Commercial,TVS/ESD,9.5,20.0,
PESD4V0Z2BCDF,Nexperia,DFN0603-3,4.0,,0.31,2.0,Bidirectional,Commercial,TVS/ESD,11.0,25.0,
PESD5V0C1BLS-Q,Nexperia,DFN1006BD-2,5.0,,0.3,1.0,Bidirectional,Automotive,TVS/ESD,6.5,15.0,
PESD5V0C1BSF,Nexperia,DSN0603-2,5.0,,0.2,1.0,Bidirectional,Commercial,TVS/ESD,9.0,20.0,
PESD5V0C1ULS-Q,Nexperia,DFN1006BD-2,5.0,,0.6,1.0,Unidirectional,Automotive,TVS/ESD,6.5,15.0,
PESD5V0C1USF,Nexperia,DSN0603-2,5.0,,0.45,1.0,Unidirectional,Commercial,TVS/ESD,9.0,20.0,
PESD5V0C2BDF,Nexperia,DFN0603-3,5.0,,0.21,2.0,Bidirectional,Commercial,TVS/ESD,8.5,20.0,
PESD5V0C2UM,Nexperia,DFN1006-3,5.0,,0.5,2.0,Unidirectional,Commercial,TVS/ESD,6.5,15.0,
PESD5V0C2UM-Q,Nexperia,DFN1006-3,5.0,,0.5,2.0,Unidirectional,Automotive,TVS/ESD,6.5,15.0,
PESD5V0F1BL,Nexperia,DFN1006-2,5.5,,0.4,1.0,Bidirectional,Commercial,TVS/ESD,2.5,10.0,
PESD5V0F1BL-Q,Nexperia,DFN1006-2,5.5,,0.4,1.0,Bidirectional,Automotive,TVS/ESD,2.5,10.0,
PESD5V0F1BLD,Nexperia,DFN1006D-2,5.5,,0.4,1.0,Bidirectional,Commercial,TVS/ESD,2.5,10.0,
PESD5V0F1BLD-Q,Nexperia,DFN1006D-2,5.5,,0.4,1.0,Bidirectional,Automotive,TVS/ESD,2.5,10.0,
PESD5V0F1BRLD,Nexperia,DFN1006D-2,5.5,,0.4,1.0,Bidirectional,Commercial,TVS/ESD,2.5,10.0,
PESD5V0F1BRLD-Q,Nexperia,DFN1006D-2,5.5,,0.4,1.0,Bidirectional,Automotive,TVS/ESD,2.5,10.0,
PESD5V0F1BRSF,Nexperia,DSN0603-2,5.0,,0.25,1.0,Bidirectional,Commercial,TVS/ESD,2.2,10.0,
PESD5V0F1BSF,Nexperia,DSN0603-2,5.0,,0.25,1.0,Bidirectional,Commercial,TVS/ESD,2.2,10.0,
PESD5V0F1USF,Nexperia,DSN0603-2,5.0,,0.6,1.0,Unidirectional,Commercial,TVS/ESD,3.0,10.0,
PESD5V0F2UT,Nexperia,SOT23,5.0,,0.47,2.0,Unidirectional,Commercial,TVS/ESD,4.0,8.0,
PESD5V0G1BL,Nexperia,DFN1006-2,5.0,,11.0,1.0,Bidirectional,Commercial,TVS/ESD,5.5,30.0,
PESD5V0H1BLG-Q,Nexperia,DFN1006LD-2,5.0,,0.25,1.0,Bidirectional,Automotive,TVS/ESD,6.25,15.0,
PESD5V0H1BLL-Q,Nexperia,DFN1006L-2,5.0,,0.25,1.0,Bidirectional,Automotive,TVS/ESD,6.5,15.0,
PESD5V0H1BSF,Nexperia,DSN0603-2,5.0,,0.15,1.0,Bidirectional,Commercial,TVS/ESD,7.0,15.0,
PESD5V0H1BSN,Nexperia,DSN0402B-2,5.0,,0.17,1.0,Bidirectional,Commercial,TVS/ESD,7.0,15.0,
PESD5V0H2BFG-Q,Nexperia,DFN1006LD-3,5.0,,0.25,2.0,Bidirectional,Automotive,TVS/ESD,6.25,15.0,
PESD5V0HS2-SF,Nexperia,DSN0603-2,5.0,,0.3,1.0,Bidirectional,Commercial,TVS/ESD,5.0,15.0,
PESD5V0HS-SF,Nexperia,DSN0603-2,5.0,,0.25,1.0,Bidirectional,Commercial,TVS/ESD,4.0,15.0,
PESD5V0L1BA-Q,Nexperia,SOD323,5.0,,75.0,1.0,Bidirectional,Automotive,TVS/ESD,15.0,30.0,
PESD5V0L1BLF,Nexperia,DFN0603-2,5.0,,,1.0,Bidirectional,Commercial,TVS/ESD,7.0,30.0,
PESD5V0L1BSF,Nexperia,DSN0603-2,5.0,,12.0,1.0,Bidirectional,Commercial,TVS/ESD,3.0,30.0,
PESD5V0L1BSL,Nexperia,DFN1006-2,5.0,,15.5,1.0,Bidirectional,Commercial,TVS/ESD,7.5,25.0,
PESD5V0L1UA,Nexperia,SOD323,5.0,,25.0,1.0,Unidirectional,Commercial,TVS/ESD,3.5,26.0,
PESD5V0L1UA-Q,Nexperia,SOD323,5.0,,25.0,1.0,Unidirectional,Automotive,TVS/ESD,3.5,26.0,
PESD5V0L1UB,Nexperia,SC-79,5.0,,25.0,1.0,Unidirectional,Commercial,TVS/ESD,3.5,26.0,
PESD5V0L1UB-Q,Nexperia,SC-79,5.0,,25.0,1.0,Unidirectional,Automotive,TVS/ESD,3.5,26.0,
PESD5V0L1UL,Nexperia,DFN1006-2,5.0,,25.0,1.0,Unidirectional,Commercial,TVS/ESD,3.5,26.0,
PESD5V0L1ULD,Nexperia,DFN1006D-2,5.0,,25.0,1.0,Unidirectional,Commercial,TVS/ESD,3.5,26.0,
PESD5V0L1ULD-Q,Nexperia,DFN1006D-2,5.0,,25.0,1.0,Unidirectional,Automotive,TVS/ESD,3.5,26.0,
PESD5V0L1ULS,Nexperia,DFN1006BD-2,5.5,,75.0,1.0,Unidirectional,Commercial,TVS/ESD,10.0,30.0,
PESD5V0L1ULS-Q,Nexperia,DFN1006BD-2,5.5,,75.0,1.0,Unidirectional,Automotive,TVS/ESD,10.0,30.0,
PESD5V0L1USF,Nexperia,DSN0603-2,5.0,,12.0,1.0,Unidirectional,Commercial,TVS/ESD,1.2,30.0,
PESD5V0L2BT-Q,Nexperia,SOT23,5.0,,75.0,2.0,Bidirectional,Automotive,TVS/ESD,13.0,30.0,
PESD5V0L2UM,Nexperia,DFN1006-3,5.0,,16.0,2.0,Unidirectional,Commercial,TVS/ESD,2.5,15.0,
PESD5V0L2UMB,Nexperia,DFN1006B-3,5.0,,16.0,2.0,Unidirectional,Commercial,TVS/ESD,2.5,15.0,
PESD5V0L2UMB-Q,Nexperia,DFN1006B-3,5.0,,16.0,2.0,Unidirectional,Automotive,TVS/ESD,2.5,15.0,
PESD5V0L2UU,Nexperia,SC-70,5.0,,38.0,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
PESD5V0L2UU-Q,Nexperia,SC-70,5.0,,19.0,2.0,Unidirectional,Automotive,TVS/ESD,6.5,30.0,
PESD5V0L4UF,Nexperia,XSON6,5.0,,16.0,4.0,Unidirectional,Commercial,TVS/ESD,2.5,20.0,
PESD5V0L4UG,Nexperia,TSSOP5,5.0,,16.0,4.0,Unidirectional,Commercial,TVS/ESD,2.5,20.0,
PESD5V0L4UW,Nexperia,SOT665,5.0,,16.0,4.0,Unidirectional,Commercial,TVS/ESD,2.5,20.0,
PESD5V0L5UF,Nexperia,XSON6,5.0,,16.0,5.0,Unidirectional,Commercial,TVS/ESD,2.5,20.0,
PESD5V0L5UV,Nexperia,SOT666,5.0,,16.0,5.0,Unidirectional,Commercial,TVS/ESD,2.5,15.0,
PESD5V0L5UY,Nexperia,TSSOP6,5.0,,16.0,5.0,Unidirectional,Commercial,TVS/ESD,2.5,20.0,
PESD5V0R1BBSF,Nexperia,DSN0603-2,5.0,,0.08,1.0,Bidirectional,Commercial,TVS/ESD,1.0,,
PESD5V0R1BBSF-Q,Nexperia,DSN0603-2,5.0,,0.08,1.0,Bidirectional,Automotive,TVS/ESD,1.0,,
PESD5V0R1BCSF,Nexperia,DSN0603-2,5.0,,0.085,1.0,Bidirectional,Commercial,TVS/ESD,3.5,8.0,
PESD5V0R1BDSF,Nexperia,DSN0603-2,5.0,,0.1,1.0,Bidirectional,Commercial,TVS/ESD,4.8,12.0,
PESD5V0R1BDSF-Q,Nexperia,DSN0603-2,5.0,,0.1,1.0,Bidirectional,Automotive,TVS/ESD,4.8,12.0,
PESD5V0R1BSF,Nexperia,DSN0603-2,5.0,,0.1,1.0,Bidirectional,Commercial,TVS/ESD,4.5,10.0,
PESD5V0S1BA,Nexperia,SOD323,5.0,,35.0,1.0,Bidirectional,Commercial,TVS/ESD,12.0,30.0,
PESD5V0S1BA-Q,Nexperia,SOD323,5.0,,35.0,1.0,Bidirectional,Automotive,TVS/ESD,12.0,30.0,
PESD5V0S1BB,Nexperia,SC-79,5.0,,35.0,1.0,Bidirectional,Commercial,TVS/ESD,12.0,30.0,
PESD5V0S1BB-Q,Nexperia,SC-79,5.0,,35.0,1.0,Bidirectional,Automotive,TVS/ESD,12.0,30.0,
PESD5V0S1BL,Nexperia,DFN1006-2,5.0,,35.0,1.0,Bidirectional,Commercial,TVS/ESD,12.0,30.0,
PESD5V0S1BL-Q,Nexperia,DFN1006-2,5.0,,35.0,1.0,Bidirectional,Automotive,TVS/ESD,12.0,30.0,
PESD5V0S1BLD,Nexperia,DFN1006D-2,5.0,,35.0,1.0,Bidirectional,Commercial,TVS/ESD,12.0,30.0,
PESD5V0S1BLD-Q,Nexperia,DFN1006D-2,5.0,,35.0,1.0,Bidirectional,Automotive,TVS/ESD,12.0,30.0,
PESD5V0S1BSF,Nexperia,DSN0603-2,5.0,,35.0,1.0,Bidirectional,Commercial,TVS/ESD,8.0,30.0,
PESD5V0S1UA,Nexperia,SOD323,5.0,,480.0,1.0,Unidirectional,Commercial,TVS/ESD,47.0,30.0,
PESD5V0S1UB,Nexperia,SC-79,5.0,,152.0,1.0,Unidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD5V0S1UB-Q,Nexperia,SC-79,5.0,,152.0,1.0,Unidirectional,Automotive,TVS/ESD,15.0,30.0,
PESD5V0S1UJ,Nexperia,SC-90,5.0,,480.0,1.0,Unidirectional,Commercial,TVS/ESD,47.0,30.0,
PESD5V0S1UL,Nexperia,DFN1006-2,5.0,,152.0,1.0,Unidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD5V0S1UL-Q,Nexperia,DFN1006-2,5.0,,152.0,1.0,Unidirectional,Automotive,TVS/ESD,15.0,30.0,
PESD5V0S1ULD,Nexperia,DFN1006D-2,5.5,,152.0,1.0,Unidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD5V0S1ULS,Nexperia,DFN1006BD-2,5.5,,152.0,1.0,Unidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD5V0S1USF,Nexperia,DSN0603-2,5.0,,35.0,1.0,Unidirectional,Commercial,TVS/ESD,3.5,30.0,
PESD5V0S2BQA,Nexperia,DFN1010D-3,5.0,,35.0,2.0,Bidirectional,Commercial,TVS/ESD,14.0,30.0,
PESD5V0S2BQA-Q,Nexperia,DFN1010D-3,5.0,,35.0,2.0,Bidirectional,Automotive,TVS/ESD,14.0,30.0,
PESD5V0S2BT,Nexperia,SOT23,5.0,,35.0,2.0,Bidirectional,Commercial,TVS/ESD,12.0,30.0,
PESD5V0S2BT-Q,Nexperia,SOT23,5.0,,35.0,2.0,Bidirectional,Automotive,TVS/ESD,12.0,30.0,
PESD5V0S2UAT,Nexperia,SOT23,5.0,,152.0,2.0,Unidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD5V0S2UAT-Q,Nexperia,SOT23,5.0,,152.0,2.0,Unidirectional,Automotive,TVS/ESD,15.0,30.0,
PESD5V0S2UQ,Nexperia,SOT663,5.0,,150.0,2.0,Unidirectional,Commercial,TVS/ESD,15.0,30.0,
PESD5V0S4UD,Nexperia,TSOP6,5.0,,165.0,4.0,Unidirectional,Commercial,TVS/ESD,20.0,30.0,
PESD5V0S4UD-Q,Nexperia,TSOP6,5.0,,165.0,4.0,Unidirectional,Automotive,TVS/ESD,20.0,30.0,
PESD5V0S4UF,Nexperia,XSON6,5.0,,85.0,4.0,Unidirectional,Commercial,TVS/ESD,10.0,30.0,
PESD5V0S5UD,Nexperia,TSOP6,5.0,,165.0,5.0,Unidirectional,Commercial,TVS/ESD,20.0,30.0,
PESD5V0S5UD-Q,Nexperia,TSOP6,5.0,,165.0,5.0,Unidirectional,Automotive,TVS/ESD,20.0,30.0,
PESD5V0U1BA,Nexperia,SOD323,5.0,,2.9,1.0,Bidirectional,Commercial,TVS/ESD,,10.0,
PESD5V0U1BA-Q,Nexperia,SOD323,5.0,,2.9,1.0,Bidirectional,Automotive,TVS/ESD,,10.0,
PESD5V0U1BB,Nexperia,SC-79,5.0,,2.9,1.0,Bidirectional,Commercial,TVS/ESD,,10.0,
PESD5V0U1BB-Q,Nexperia,SC-79,5.0,,2.9,1.0,Bidirectional,Automotive,TVS/ESD,,10.0,
PESD5V0U1BL,Nexperia,DFN1006-2,5.0,,2.9,1.0,Bidirectional,Commercial,TVS/ESD,,10.0,
PESD5V0U1BL-Q,Nexperia,DFN1006-2,5.0,,2.9,1.0,Bidirectional,Automotive,TVS/ESD,,10.0,
PESD5V0U1BLD,Nexperia,DFN1006D-2,5.0,,2.9,1.0,Bidirectional,Commercial,TVS/ESD,,10.0,
PESD5V0U1BLD-Q,Nexperia,DFN1006D-2,5.0,,2.9,1.0,Bidirectional,Automotive,TVS/ESD,,10.0,
PESD5V0U1UA,Nexperia,SOD323,5.0,,2.0,1.0,Unidirectional,Commercial,TVS/ESD,,9.0,
PESD5V0U1UA-Q,Nexperia,SOD323,5.0,,2.0,1.0,Unidirectional,Automotive,TVS/ESD,,9.0,
PESD5V0U1UB,Nexperia,SC-79,5.0,,2.0,1.0,Unidirectional,Commercial,TVS/ESD,,9.0,
PESD5V0U1UB-Q,Nexperia,SC-79,5.0,,2.0,1.0,Unidirectional,Automotive,TVS/ESD,,9.0,
PESD5V0U1UL,Nexperia,DFN1006-2,5.0,,2.0,1.0,Unidirectional,Commercial,TVS/ESD,,9.0,
PESD5V0U1USL,Nexperia,DFN1006-2,5.0,,1.2,1.0,Unidirectional,Commercial,TVS/ESD,8.0,20.0,
PESD5V0U1UT,Nexperia,SOT23,5.0,,0.6,1.0,Unidirectional,Commercial,TVS/ESD,5.0,30.0,
PESD5V0U1UT-Q,Nexperia,SOT23,5.0,,0.6,1.0,Unidirectional,Automotive,TVS/ESD,5.0,30.0,
PESD5V0U2BM,Nexperia,DFN1006-3,5.0,,2.9,2.0,Bidirectional,Commercial,TVS/ESD,,10.0,
PESD5V0U2BM-Q,Nexperia,DFN1006-3,5.0,,2.9,2.0,Bidirectional,Automotive,TVS/ESD,,10.0,
PESD5V0U2BMB,Nexperia,DFN1006B-3,5.0,,2.9,2.0,Bidirectional,Commercial,TVS/ESD,1.5,10.0,
PESD5V0U2BMB-Q,Nexperia,DFN1006B-3,5.0,,2.9,2.0,Bidirectional,Automotive,TVS/ESD,1.5,10.0,
PESD5V0U2BT,Nexperia,SOT23,5.0,,2.9,2.0,Bidirectional,Commercial,TVS/ESD,,10.0,
PESD5V0U2BT-Q,Nexperia,SOT23,5.0,,2.9,2.0,Bidirectional,Automotive,TVS/ESD,,10.0,
PESD5V0U4BF,Nexperia,XSON6,5.0,,2.9,4.0,Bidirectional,Commercial,TVS/ESD,,10.0,
PESD5V0U4BW,Nexperia,SOT665,5.0,,2.9,4.0,Bidirectional,Commercial,TVS/ESD,,10.0,
